#
# Mean: -8.47732625e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.47732625e-02       5.812946e-07
      2              500       -8.47732625e-02       7.661531e-07
      5              200       -8.47732625e-02       1.083007e-06
     10              100       -8.47732625e-02       1.374248e-06
     20               50       -8.47732625e-02       1.687884e-06
     50               20       -8.47732625e-02       2.025518e-06
    100               10       -8.47732625e-02       2.058881e-06
    200                5       -8.47732625e-02       1.436854e-06
    300                3       -8.47733390e-02       1.530713e-06
    400                2       -8.47734248e-02       2.599331e-06
# Stocahstic error estimate: 2.058881e-06
#
