#
# Mean: -2.43821648e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43821648e-02       9.290907e-08
      2              500       -2.43821648e-02       1.239053e-07
      5              200       -2.43821648e-02       1.802470e-07
     10              100       -2.43821648e-02       2.270594e-07
     20               50       -2.43821648e-02       2.802916e-07
     50               20       -2.43821648e-02       3.516278e-07
    100               10       -2.43821648e-02       3.322325e-07
    200                5       -2.43821648e-02       3.562710e-07
    300                3       -2.43821751e-02       4.613875e-07
    400                2       -2.43823138e-02       6.679193e-07
# Stocahstic error estimate: 3.516278e-07
#
