rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
8	-8.53805407e-02	2.094867430484055326e+00 
11	-8.52201917e-02	2.532640562176517451e-01 
9	-8.52031955e-02	1.444836940491990573e-01 
10	-8.51985658e-02	9.462225424615517966e-01 
6	-8.51969248e-02	1.049496952283129753e-01 
13	-8.51731952e-02	6.046674226645365469e-01 
14	-8.51089154e-02	6.392173779754458662e-01 
5	-8.50679296e-02	3.876174826145911023e+00 
2	-8.49815568e-02	2.073413960378108989e+00 
0	-8.47856676e-02	3.777158722803692470e+00 
4	-8.47821094e-02	6.816229145466277117e+00 
1	-8.45332434e-02	5.604680381580259052e+00 
15	-8.42669892e-02	1.345371647427588746e+00 
7	-8.22153688e-02	5.254656000809593053e+00 
12	-5.83565346e-02	9.769009520336126684e+00 
3	-4.03239061e-02	8.652170041413569379e+00 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
2	-4.62779594e-02	2.997258539784812825e+00 
0	-4.61780787e-02	2.437208259166559476e-01 
12	-4.61777793e-02	3.846818837444157535e-01 
15	-4.61725399e-02	4.108163992428617295e-01 
7	-4.61371122e-02	9.683255774300880692e-01 
4	-4.60483057e-02	1.084507298360712496e-01 
3	-4.60394082e-02	1.059706125976739438e-01 
1	-4.60344151e-02	1.068674025424499879e-01 
10	-4.60336103e-02	1.049333637659270568e+00 
6	-4.60014510e-02	4.796867844293029925e+00 
5	-4.59978682e-02	3.473423431832014963e+00 
9	-4.58401639e-02	3.459945661793033977e+00 
14	-4.56485626e-02	2.934865650816631089e+00 
8	-4.55272732e-02	5.527551463622931038e+00 
11	-4.51016047e-02	5.557047007447750708e+00 
13	-4.48187393e-02	6.735856063541233674e+00 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
4	-3.18439413e-02	7.940205285324306583e-01 
10	-3.18015965e-02	1.494979515888682275e+00 
9	-3.17954297e-02	3.891905771502639499e-01 
2	-3.17810761e-02	3.688433212288006469e-01 
12	-3.17770308e-02	3.544818335473199911e-01 
1	-3.17634612e-02	3.060267013937693070e-01 
3	-3.17571818e-02	3.149295212855640624e-01 
11	-3.17554576e-02	2.720338118551911544e-01 
5	-3.17537425e-02	2.304157484509029019e-01 
0	-3.17419534e-02	2.109113796505193705e-01 
15	-3.17404835e-02	2.158142025539572517e-01 
6	-3.17372696e-02	2.009599399976167711e-01 
14	-3.17330388e-02	1.491505443812514708e-01 
13	-3.17155060e-02	1.015683015975219483e-01 
7	-3.16632442e-02	3.748196129994551207e+00 
8	-3.09797388e-02	4.408013314357666523e+00 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
2	-2.43384952e-02	9.859782556424270261e-01 
4	-2.43334829e-02	9.605543302022039320e-01 
9	-2.43288783e-02	1.691923318420958777e+00 
15	-2.43276959e-02	8.879115223435896098e-01 
13	-2.42867451e-02	3.947702526564325964e+00 
14	-2.42836228e-02	2.829139756792487415e+00 
1	-2.42827594e-02	3.581052436936256189e-01 
3	-2.42772448e-02	2.768237084375428925e-01 
5	-2.42737637e-02	2.330315463530635289e-01 
10	-2.42675896e-02	2.018828432019398600e-01 
11	-2.42558477e-02	1.012202498025025071e-01 
8	-2.42546548e-02	1.003533773011936053e-01 
6	-2.42408362e-02	2.211326039685832079e+00 
7	-2.42141078e-02	2.165768935846174692e+00 
12	-2.36594907e-02	6.431657020670208169e+00 
0	5.54562887e-02	3.281098848832940451e+00 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
8	-1.97180902e-02	1.421976764731356369e+00 
7	-1.96920158e-02	5.030585635391077171e-01 
2	-1.96849339e-02	4.890468568755212964e-01 
15	-1.96837127e-02	3.357249335843857097e-01 
14	-1.96828187e-02	3.976756206663709658e-01 
3	-1.96801721e-02	3.528878968978292896e-01 
10	-1.96770396e-02	2.997286718157555763e-01 
5	-1.96676901e-02	1.994045229508800143e-01 
13	-1.96675610e-02	1.918511344146148767e-01 
0	-1.96662564e-02	4.442262379750718360e+00 
4	-1.96635124e-02	1.070827410984577927e-01 
1	-1.96631348e-02	1.150328344912307649e-01 
6	-1.96495601e-02	3.299074493432531341e+00 
11	-1.86026400e-02	3.079936102566266154e+00 
9	-1.41167372e-02	2.909066377309708962e+00 
12	5.24346962e-03	6.442549540461767421e+00 

