rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
9	-8.54146384e-02	3.101930796480423802e-01 
3	-8.53593905e-02	4.613559464363405360e-01 
2	-8.52646238e-02	2.548110256901144899e-01 
11	-8.52637576e-02	2.089400768581577694e-01 
14	-8.52580023e-02	2.884576463396567036e-01 
12	-8.52547427e-02	1.579789322589066902e-01 
5	-8.52536767e-02	2.194058070330710819e-01 
6	-8.52518127e-02	1.849579707125312278e-01 
13	-8.52441203e-02	1.476271208894132103e-01 
8	-8.49239444e-02	2.112891614503445759e+00 
0	-8.47331136e-02	2.812239501808036390e+00 
7	-8.02172757e-02	9.795424876469893682e-01 
10	-7.76878769e-02	1.808811447294214059e+00 
1	inf	9.508263673524512072e+00 
15	inf	3.445684551187670586e+00 
4	inf	6.772258212207079353e+00 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
8	-4.63049566e-02	1.055160133971966951e+00 
7	-4.62972593e-02	7.096775910912804797e-01 
9	-4.62810996e-02	5.818998779757977857e-01 
14	-4.62768565e-02	4.016889793504389572e-01 
2	-4.62663537e-02	3.543869417512448550e-01 
3	-4.62630231e-02	4.005688710212446102e-01 
4	-4.62462472e-02	2.974694456222605199e-01 
13	-4.62388729e-02	2.447532450443920260e-01 
15	-4.61824768e-02	2.645514443889939171e-01 
10	-4.61332118e-02	1.707633996201274873e-01 
5	-4.60023314e-02	2.646491939327345833e+00 
0	-4.60013029e-02	1.072333014521639483e-01 
1	-4.52779553e-02	2.359062000918727975e+00 
6	-4.52188579e-02	2.147523265856345009e+00 
11	-4.51761436e-02	1.512434040232265797e+00 
12	-2.38551972e-02	7.833165099545373877e+00 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
1	-3.18924076e-02	1.166194680032466513e+00 
9	-3.18571219e-02	6.745876580014990020e-01 
4	-3.17815933e-02	3.781549505628702956e-01 
10	-3.17370282e-02	3.051096037070906708e-01 
15	-3.16913275e-02	2.049114150107375909e-01 
5	-3.16882475e-02	1.104245607670437529e-01 
12	-3.16878596e-02	1.015583227975909997e-01 
3	-3.16867301e-02	1.115471344371781748e-01 
14	-3.16864898e-02	1.649000659827259407e-01 
0	-3.10682182e-02	1.079037946141728321e+00 
7	-3.10583468e-02	5.740242938341085122e+00 
8	-3.01705865e-02	4.657503153037426458e+00 
11	inf	5.770636109860845409e+00 
13	inf	4.866138331394838090e+00 
2	inf	8.613240055916994820e+00 
6	inf	6.613960950858191801e+00 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
12	-2.43287973e-02	1.350778436666269844e+00 
0	-2.43075643e-02	2.977473844355097654e+00 
4	-2.42979061e-02	2.513844940906580838e+00 
14	-2.42968128e-02	5.578196169292660711e-01 
7	-2.42877852e-02	5.393423161011617895e-01 
5	-2.42699192e-02	4.636595008663728090e-01 
6	-2.42480623e-02	3.712807292906749046e-01 
8	-2.42450670e-02	3.134477097237844956e-01 
10	-2.42448216e-02	3.494527594272606175e-01 
3	-2.42433216e-02	1.056311497988610404e-01 
11	-2.42432035e-02	1.990880201256889637e-01 
15	-2.41945088e-02	3.424098272236667295e+00 
1	-2.32035949e-02	1.823736929902032067e+00 
13	-2.27202011e-02	1.622077410826138211e+00 
2	-1.97751252e-02	4.901526648077918047e+00 
9	-1.85664785e-02	3.730530772635475945e+00 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
8	-1.97170030e-02	1.305736516220679100e+00 
7	-1.96988497e-02	2.536778308321975040e+00 
15	-1.96649463e-02	6.340366171849807220e-01 
12	-1.96581923e-02	3.609622474780629364e-01 
11	-1.96579165e-02	1.047481874733038887e-01 
5	-1.96578394e-02	4.148124343489780763e-01 
0	-1.96577766e-02	2.024783405445018669e-01 
9	-1.96574614e-02	9.919659317543954913e+00 
4	-1.96573915e-02	1.204052064300228098e-01 
2	-1.96573848e-02	5.235600056567507599e-01 
6	-1.96569579e-02	2.305898033277570813e-01 
14	-1.96433852e-02	1.598480290641944190e+00 
10	-1.91388366e-02	3.148246853012415247e+00 
3	-2.30278318e-04	8.695766170644457560e+00 
1	inf	7.897768545433620169e+00 
13	inf	7.295280430316964271e+00 

