#
# Mean: -2.43287973e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43287973e-02       1.156403e-07
      2              500       -2.43287973e-02       1.542015e-07
      5              200       -2.43287973e-02       2.214738e-07
     10              100       -2.43287973e-02       2.822156e-07
     20               50       -2.43287973e-02       3.433604e-07
     50               20       -2.43287973e-02       4.033159e-07
    100               10       -2.43287973e-02       3.953890e-07
    200                5       -2.43287973e-02       4.081771e-07
    300                3       -2.43290930e-02       1.051991e-07
    400                2       -2.43291003e-02       9.736690e-08
# Stocahstic error estimate: 4.033159e-07
#
