#
# Mean: -2.43434743e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43434743e-02       1.237114e-07
      2              500       -2.43434743e-02       1.677458e-07
      5              200       -2.43434743e-02       2.460289e-07
     10              100       -2.43434743e-02       3.144314e-07
     20               50       -2.43434743e-02       3.902823e-07
     50               20       -2.43434743e-02       5.181545e-07
    100               10       -2.43434743e-02       7.141874e-07
    200                5       -2.43434743e-02       1.038092e-06
    300                3       -2.43436595e-02       1.395905e-06
    400                2       -2.43441429e-02       7.844218e-07
# Stocahstic error estimate: 1.395905e-06
#
