#
# Mean: -3.16949842e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.16949842e-02       2.294592e-07
      2              500       -3.16949842e-02       3.050637e-07
      5              200       -3.16949842e-02       4.353731e-07
     10              100       -3.16949842e-02       5.661277e-07
     20               50       -3.16949842e-02       6.940603e-07
     50               20       -3.16949842e-02       8.071284e-07
    100               10       -3.16949842e-02       9.667541e-07
    200                5       -3.16949842e-02       1.229921e-06
    300                3       -3.16943220e-02       5.907772e-07
    400                2       -3.16939314e-02       2.691074e-07
# Stocahstic error estimate: 1.229921e-06
#
