rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
8	-8.47732625e-02	6.387186258178251252e-01 
0	-8.47502849e-02	8.514378858798609118e-01 
15	-8.47179057e-02	9.807539361669802558e-01 
11	-8.47176157e-02	4.733763950313487068e-01 
10	-8.46993475e-02	3.555521633014159244e-01 
2	-8.46897694e-02	2.874578136995278310e-01 
5	-8.46722442e-02	1.829953621134516428e+00 
12	-8.44964545e-02	2.452008259989986616e+00 
13	-8.44525797e-02	4.379044762240655864e+00 
14	-8.43269644e-02	1.473365316617984977e-01 
6	-8.42388159e-02	1.283322509601787231e-01 
1	-8.42342019e-02	2.834511614698921989e+00 
9	-8.42202206e-02	1.247651795246964984e-01 
4	-8.41811576e-02	1.187353148609497783e-01 
3	-7.85427380e-02	2.438834246878212930e+00 
7	inf	7.841854237012492845e+00 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
15	-4.61442405e-02	1.455871114498521690e+00 
6	-4.61440338e-02	9.012573524174849471e-01 
12	-4.61391788e-02	2.652406509940140600e-01 
14	-4.61354428e-02	5.582657658570661097e-01 
7	-4.61343075e-02	2.577285857544399650e-01 
0	-4.61328567e-02	1.514796199342698380e+00 
4	-4.61312215e-02	5.194183097223649126e-01 
2	-4.61309573e-02	6.377411250631761508e-01 
13	-4.61293206e-02	3.237149131755104214e+00 
8	-4.61285838e-02	4.373145308161526246e-01 
1	-4.61278753e-02	2.587476470659478611e+00 
11	-4.61247385e-02	1.593935530583801274e-01 
9	-4.61174241e-02	8.550546067671965789e-01 
5	-4.61071731e-02	1.352654074519326621e-01 
3	-4.60708114e-02	1.024098262195417275e-01 
10	-4.59886816e-02	2.923935769148504615e+00 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
9	-3.18854576e-02	7.233986045922743413e-01 
4	-3.18691091e-02	4.439818792737821873e-01 
8	-3.18678275e-02	1.669064307610290454e+00 
12	-3.18677350e-02	4.098084319653965690e-01 
2	-3.18644656e-02	3.420415486820419515e-01 
10	-3.18635937e-02	4.434576645825732411e-01 
7	-3.18569411e-02	3.120072086581922588e-01 
3	-3.18540870e-02	2.916530919238708996e-01 
11	-3.18482390e-02	2.555449888770860989e-01 
0	-3.18408713e-02	3.516693175135178873e+00 
13	-3.18388355e-02	2.535121965303201996e+00 
1	-3.18278899e-02	1.906145886889830110e-01 
6	-3.18194707e-02	1.419521970801890798e-01 
14	-3.17777821e-02	3.555285018921760631e+00 
5	-3.16084277e-02	4.705041799999883700e+00 
15	-2.63332464e-02	8.827554537961743719e+00 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
7	-2.44056676e-02	1.160163827871522502e+00 
15	-2.44021151e-02	6.190344475576011751e-01 
2	-2.43997546e-02	1.206283474020046986e+00 
5	-2.43870053e-02	4.268972153643088574e-01 
1	-2.43805888e-02	3.727111518286629899e+00 
12	-2.43800627e-02	3.752694398514490048e-01 
10	-2.43796248e-02	3.297514258064744852e-01 
4	-2.43769493e-02	8.543739255752903716e+00 
0	-2.43764891e-02	3.052339697560974563e-01 
3	-2.43708673e-02	2.044839427518020947e-01 
13	-2.43697711e-02	2.108551748789826985e-01 
9	-2.43586748e-02	2.238931068988948780e+00 
8	-2.43464206e-02	3.657137142729634416e+00 
11	-2.43263543e-02	2.280181710081123025e+00 
6	-2.43061027e-02	4.810088004400588702e+00 
14	-2.42819742e-02	4.706324651127154368e+00 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
14	-1.97952604e-02	8.196754959924672512e-01 
13	-1.97879010e-02	1.386793784321475931e+00 
15	-1.97798480e-02	4.687852697704651961e-01 
2	-1.97785354e-02	2.779874241152407777e+00 
10	-1.97776096e-02	4.302475647408661730e-01 
12	-1.97768376e-02	4.088609357434842551e-01 
4	-1.97751843e-02	2.084856513837405334e-01 
3	-1.97750317e-02	3.777974504398985967e-01 
5	-1.97746662e-02	2.824337892053222498e-01 
8	-1.97745461e-02	1.834564780988625909e-01 
7	-1.97740489e-02	2.124188806657520967e-01 
1	-1.97734535e-02	1.011430316546789859e-01 
9	-1.97729636e-02	1.674100616463573554e-01 
6	-1.97553128e-02	2.967631497408078189e+00 
11	-1.93035273e-02	6.122395029819362122e+00 
0	-1.90555057e-02	9.691326689513330095e+00 

