#
# Mean: -8.53163624e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.53163624e-02       6.217865e-07
      2              500       -8.53163624e-02       8.167712e-07
      5              200       -8.53163624e-02       1.139003e-06
     10              100       -8.53163624e-02       1.386903e-06
     20               50       -8.53163624e-02       1.610712e-06
     50               20       -8.53163624e-02       1.881312e-06
    100               10       -8.53163624e-02       2.101228e-06
    200                5       -8.53163624e-02       2.491167e-06
    300                3       -8.53170614e-02       4.481625e-06
    400                2       -8.53177251e-02       2.720179e-06
# Stocahstic error estimate: 4.481625e-06
#
