rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
6	-8.54173550e-02	1.362424632921988232e+00 
4	-8.52717258e-02	5.315376493936342372e-01 
9	-8.52589297e-02	4.567494700832042120e-01 
0	-8.52377565e-02	3.470548705338594719e-01 
5	-8.52342778e-02	1.625765181400441461e+00 
8	-8.52329302e-02	1.763691810617580291e-01 
13	-8.52285561e-02	2.198000919880448711e-01 
15	-8.51864791e-02	1.544568378860071423e-01 
7	-8.51716380e-02	1.006409524960787616e+00 
3	-8.51567391e-02	1.353541917172423892e-01 
1	-8.51544959e-02	1.258530935170765475e-01 
14	-7.72318602e-02	2.073962716725156863e+00 
2	-7.52896328e-02	9.954425231159086396e-01 
10	1.38297215e-02	5.391876110114631082e+00 
11	2.54760359e-01	8.283429654382763019e+00 
12	inf	5.625420466889672788e+00 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
8	-4.62269022e-02	7.869116260570110377e-01 
7	-4.62063213e-02	7.225884594810804140e-01 
14	-4.61646949e-02	3.530452669315742309e-01 
0	-4.61627879e-02	2.439967372787722688e+00 
2	-4.61579724e-02	1.702191522276296887e+00 
13	-4.61183638e-02	2.711629475057119598e-01 
6	-4.60404482e-02	1.245802053207042126e-01 
11	-4.60301047e-02	1.096368270464044420e-01 
15	-4.58934043e-02	1.350075759346419435e+00 
10	-4.58302862e-02	3.545099776785233470e+00 
1	-4.57501559e-02	1.560646613036908326e+00 
4	-4.57029752e-02	9.098364141936786664e-01 
9	-4.44353974e-02	2.427528378875065673e+00 
12	inf	5.678152291245931238e+00 
3	inf	9.303026067236737973e+00 
5	inf	7.301883723780391300e+00 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
4	-3.18665709e-02	1.205916283571030201e+00 
0	-3.18313818e-02	8.089361583289300661e-01 
10	-3.17999072e-02	7.241706229481733592e-01 
5	-3.17985214e-02	6.742095186672949492e-01 
9	-3.17969145e-02	6.278646107092524797e-01 
15	-3.17807624e-02	4.427806761082359044e-01 
7	-3.17523786e-02	3.091092251723565609e-01 
1	-3.16294761e-02	2.092993844027141837e+00 
12	-3.15875668e-02	2.142325076656445670e+00 
14	-3.07865751e-02	7.039265185053761975e+00 
11	-3.00811510e-02	2.542809816683380575e+00 
13	-2.73488263e-02	5.184327775101913893e+00 
2	-2.49878671e-02	6.697905352023310499e+00 
8	2.01817035e-02	8.641686362961193524e+00 
3	6.91827074e-02	1.980273154674136338e+00 
6	inf	6.571550684322188474e+00 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
3	-2.43987862e-02	1.580749429698750763e+00 
10	-2.43104814e-02	9.769626793009400512e-01 
9	-2.43067699e-02	8.672427510949122231e-01 
11	-2.42982117e-02	9.631117306878106410e-01 
2	-2.42978185e-02	8.279331550477184720e-01 
5	-2.42974430e-02	8.096323142018093666e-01 
1	-2.42926573e-02	6.527918567992992971e-01 
0	-2.42866369e-02	5.394895517213846858e-01 
14	-2.42822712e-02	3.288283105776838577e-01 
4	-2.42613934e-02	1.508432648746663718e-01 
15	-2.42598830e-02	3.577017173619102319e+00 
7	-2.42578591e-02	1.248669772274140083e-01 
8	-2.42578498e-02	1.174935609379323259e-01 
13	-1.51811531e-02	8.611809123144670508e+00 
12	inf	3.377027478665537874e+00 
6	inf	9.220400572852224030e+00 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
13	-1.97100854e-02	1.942514154110444924e+00 
6	-1.96990554e-02	1.132391274165465367e+00 
11	-1.96951869e-02	9.115896924927782141e-01 
2	-1.96905297e-02	7.107605295244501242e-01 
4	-1.96779541e-02	3.096996786376874367e-01 
0	-1.96777920e-02	2.717973017935451652e-01 
12	-1.96702361e-02	2.216427447478704349e-01 
5	-1.96701952e-02	2.409312052599549281e-01 
10	-1.96661528e-02	1.668971744747560493e-01 
15	-1.96647041e-02	1.261143015024652481e-01 
8	-1.96646376e-02	1.353028618405510974e-01 
1	-1.96637115e-02	1.038649495764930458e-01 
9	-1.96635995e-02	1.139424818833650876e-01 
14	-1.96635679e-02	1.070922083576956452e-01 
3	-4.41993122e-03	8.130648864601184300e+00 
7	1.49312131e-02	5.648603524474393289e+00 

