#
# Mean: -8.54146384e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.54146384e-02       5.064720e-07
      2              500       -8.54146384e-02       6.502112e-07
      5              200       -8.54146384e-02       8.989502e-07
     10              100       -8.54146384e-02       1.120404e-06
     20               50       -8.54146384e-02       1.326447e-06
     50               20       -8.54146384e-02       1.768706e-06
    100               10       -8.54146384e-02       1.406238e-06
    200                5       -8.54146384e-02       9.890665e-07
    300                3       -8.54147189e-02       1.425782e-06
    400                2       -8.54144725e-02       1.245207e-06
# Stocahstic error estimate: 1.768706e-06
#
