#
# Mean: 5.77954444e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.77954444e-01       9.706909e-05
      2              500       5.77954444e-01       1.200132e-04
      5              200       5.77954444e-01       1.552068e-04
     10              100       5.77954444e-01       1.784606e-04
     20               50       5.77954444e-01       1.961383e-04
     50               20       5.77954444e-01       1.938226e-04
    100               10       5.77954444e-01       1.992181e-04
    200                5       5.77954444e-01       2.582822e-04
    300                3       5.77973669e-01       2.774959e-04
    400                2       5.78034944e-01       5.860293e-04
# Stocahstic error estimate: 1.961383e-04
#
