#
# Mean: -1.81392102e-03
# Block size    # of blocks         Mean                Error
      1             1000       -1.81392102e-03       4.264566e-05
      2              500       -1.81392102e-03       5.322163e-05
      5              200       -1.81392102e-03       6.979836e-05
     10              100       -1.81392102e-03       8.384915e-05
     20               50       -1.81392102e-03       9.860450e-05
     50               20       -1.81392102e-03       1.141291e-04
    100               10       -1.81392102e-03       1.268522e-04
    200                5       -1.81392102e-03       1.262535e-04
    300                3       -1.86858543e-03       1.358550e-04
    400                2       -1.88202048e-03       1.630109e-04
# Stocahstic error estimate: 1.268522e-04
#
