#
# Mean: 5.69157557e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69157557e-01       9.661875e-06
      2              500       5.69157557e-01       1.161561e-05
      5              200       5.69157557e-01       1.366764e-05
     10              100       5.69157557e-01       1.481077e-05
     20               50       5.69157557e-01       1.528988e-05
     50               20       5.69157557e-01       1.548279e-05
    100               10       5.69157557e-01       1.478866e-05
    200                5       5.69157557e-01       1.363643e-05
    300                3       5.69155534e-01       1.390417e-05
    400                2       5.69168818e-01       1.415019e-05
# Stocahstic error estimate: 1.528988e-05
#
