#
# Mean: -8.24742455e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.24742455e-03       3.770263e-06
      2              500       -8.24742455e-03       4.473492e-06
      5              200       -8.24742455e-03       5.465955e-06
     10              100       -8.24742455e-03       5.834036e-06
     20               50       -8.24742455e-03       6.220206e-06
     50               20       -8.24742455e-03       5.744248e-06
    100               10       -8.24742455e-03       6.493193e-06
    200                5       -8.24742455e-03       4.809050e-06
    300                3       -8.24912855e-03       6.629074e-06
    400                2       -8.24955490e-03       5.020310e-06
# Stocahstic error estimate: 6.220206e-06
#
