#
# Mean: -1.46174752e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.46174752e-02       1.176112e-07
      2              500       -1.46174752e-02       1.491024e-07
      5              200       -1.46174752e-02       1.985723e-07
     10              100       -1.46174752e-02       2.334472e-07
     20               50       -1.46174752e-02       2.587445e-07
     50               20       -1.46174752e-02       2.713900e-07
    100               10       -1.46174752e-02       2.776759e-07
    200                5       -1.46174752e-02       3.033382e-07
    300                3       -1.46173363e-02       3.327935e-07
    400                2       -1.46172765e-02       2.441867e-07
# Stocahstic error estimate: 2.713900e-07
#
