#
# Mean: 5.69249236e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69249236e-01       2.204701e-05
      2              500       5.69249236e-01       2.681165e-05
      5              200       5.69249236e-01       3.466913e-05
     10              100       5.69249236e-01       3.743802e-05
     20               50       5.69249236e-01       3.612266e-05
     50               20       5.69249236e-01       4.096686e-05
    100               10       5.69249236e-01       4.448381e-05
    200                5       5.69249236e-01       5.568446e-05
    300                3       5.69226884e-01       3.567603e-05
    400                2       5.69201468e-01       6.324345e-06
# Stocahstic error estimate: 3.743802e-05
#
