#
# Mean: 5.69051021e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69051021e-01       1.754595e-05
      2              500       5.69051021e-01       2.125485e-05
      5              200       5.69051021e-01       2.515145e-05
     10              100       5.69051021e-01       2.917078e-05
     20               50       5.69051021e-01       3.022271e-05
     50               20       5.69051021e-01       3.463316e-05
    100               10       5.69051021e-01       3.847587e-05
    200                5       5.69051021e-01       2.774618e-05
    300                3       5.69054082e-01       1.485869e-05
    400                2       5.69067384e-01       9.431923e-06
# Stocahstic error estimate: 3.022271e-05
#
