#
# Mean: -7.98165265e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.98165265e-02       2.344014e-06
      2              500       -7.98165265e-02       2.865583e-06
      5              200       -7.98165265e-02       3.423591e-06
     10              100       -7.98165265e-02       3.756917e-06
     20               50       -7.98165265e-02       3.905329e-06
     50               20       -7.98165265e-02       4.062248e-06
    100               10       -7.98165265e-02       4.728989e-06
    200                5       -7.98165265e-02       4.409156e-06
    300                3       -7.98153598e-02       3.666454e-06
    400                2       -7.98164421e-02       1.102781e-05
# Stocahstic error estimate: 3.905329e-06
#
